SparkleIndex,SparkleTerm,Cui,UmlsCanonicalName,ChosenMethod,ChosenScore,Types
63,Wart Removal,C0580643,Removal of wart,alias,0.0,"[""T061""]"
64,Warts,C3665596,Warts,alias,0.0,"[""T047""]"
68,Weakness,C3714552,Weakness,alias,0.0,"[""T184""]"
69,Vulvar Mass,C0241716,Mass of vulva,alias,0.0,"[""T033""]"
70,Vulvectomy,C0195066,Vulvectomy,alias,0.0,"[""T061""]"
71,Vulvitis,C0042996,Vulvitis,alias,0.0,"[""T047""]"
72,Vulvodynia,C0406670,Vulvodynia,alias,0.0,"[""T047""]"
74,Waldenstrom Macroglobulinemia,C0024419,Waldenstrom Macroglobulinemia,alias,0.0,"[""T191""]"
75,Von Willebrand Disease,C0042974,von Willebrand Disease,alias,0.0,"[""T047""]"
76,VQ Scan,C0560738,VQ - Ventilation perfusion scan,alias,0.0,"[""T060""]"
77,Vulvar Abscess,C0262666,Abscess of vulva,alias,0.0,"[""T047""]"
78,Vulvar Cancer,C0375071,Malignant neoplasm of vulva,alias,0.0,"[""T191""]"
79,Vulvar Disease,C0042994,Vulvar Diseases,alias,0.0,"[""T047""]"
80,Vulvar Dysplasia,C0346210,Vulval intraepithelial neoplasia,alias,0.0,"[""T191""]"
83,Volitional Tremor,C0234376,Action Tremor,alias,0.0,"[""T184""]"
84,Volumetric Modulated Arc Therapy,C3489631,Volumetric-Modulated Arc Therapy,alias,0.0,"[""T061""]"
85,Vomiting,C0042963,Vomiting,alias,0.0,"[""T184""]"
86,Von Hippel Lindau Disease,C0019562,Von Hippel-Lindau Syndrome,alias,0.0,"[""T047""]"
88,Vogt Koyanagi Harada Syndrome,C0042170,Uveomeningoencephalitic Syndrome,alias,0.0,"[""T047""]"
89,Voice Disorders,C0042940,Voice Disorders,alias,0.0,"[""T047""]"
91,Voice Prosthesis,C0087165,Voice Prosthesis,alias,0.0,"[""T074""]"
94,Vocal Cord Dysfunction,C0859897,Vocal Cord Dysfunction,alias,0.0,"[""T033""]"
97,Vocal Cord Paralysis,C0042928,Vocal Cord Paralysis,alias,0.0,"[""T047""]"
99,Vocal Cord Surgery,C0189205,Operation on vocal cord,alias,0.0,"[""T061""]"
100,Vitiligo,C0042900,Vitiligo,alias,0.0,"[""T047""]"
101,Vitrectomy,C0042903,Vitrectomy,alias,0.0,"[""T061""]"
106,Vocal Cord Cancer,C0345715,Malignant tumor of vocal cord,alias,0.0,"[""T191""]"
109,Vitamin B12 Deficiency,C0042847,Vitamin B 12 Deficiency,alias,0.0,"[""T047""]"
111,Vitamin D Deficiency,C0042870,Vitamin D Deficiency,alias,0.0,"[""T047""]"
112,Vitamin Deficiency,C0376286,Avitaminosis,alias,0.0,"[""T047""]"
113,Visual Discomfort,C0042818,Visual discomfort,alias,0.0,"[""T184""]"
114,Visual Disturbance,C0547030,Visual disturbance,alias,0.0,"[""T033""]"
115,Visual Field Defects,C3887875,Visual field defects,alias,0.0,"[""T033""]"
116,Visual Field Testing,C0042825,Visual field study,alias,0.0,"[""T060""]"
117,Visual Impairment,C3665347,Visual Impairment,alias,0.0,"[""T033""]"
119,Virtual Colonoscopy,C0935912,Computed Tomographic Colonography,alias,0.0,"[""T060""]"
120,Viscosupplementation,C2350507,Viscosupplementation,alias,0.0,"[""T061""]"
121,Vision Loss,C3665347,Visual Impairment,alias,0.0,"[""T033""]"
123,Vision Therapy,C0150177,Vision therapy,alias,0.0,"[""T058""]"
125,Viral Exanthem,C0153062,Viral exanthem,alias,0.0,"[""T047""]"
126,Viral Hepatitis,C0042721,Viral hepatitis,alias,0.0,"[""T047""]"
127,Viral Infections,C0042769,Virus Diseases,alias,0.0,"[""T047""]"
128,Viral Meningitis,C0025297,Viral meningitis,alias,0.0,"[""T047""]"
132,Videostroboscopy,C4725909,Videostroboscopy,alias,0.0,"[""T060""]"
133,Viral Arthritis,C0003875,"Arthritis, Viral",alias,0.0,"[""T047""]"
134,Viral Cardiomyopathy,C0264797,Dilated cardiomyopathy due to viral myocarditis,alias,0.0,"[""T047""]"
135,Viral Conjunctivitis,C0009774,Viral Conjunctivitis,alias,0.0,"[""T047""]"
136,Viral Encephalitis,C0243010,Viral Encephalitis,alias,0.0,"[""T047""]"
139,Vestibular Neuritis,C0751908,Vestibular Neuronitis,alias,0.0,"[""T047""]"
140,Vestibular Neuronitis,C0751908,Vestibular Neuronitis,alias,0.0,"[""T047""]"
142,Vhl Gene,C0694897,VHL gene,alias,0.0,"[""T028""]"
143,Video Assisted Thoracoscopic Surgery,C0752151,"Thoracic Surgery, Video-Assisted",alias,0.0,"[""T061""]"
146,Vertigo,C0042571,Vertigo,alias,0.0,"[""T184""]"
150,Vertebral Fracture,C0080179,Spinal Fractures,alias,0.0,"[""T037""]"
154,Vertebrobasilar Insufficiency,C0042568,Vertebrobasilar Insufficiency,alias,0.0,"[""T047""]"
155,Vertebroplasty,C1303192,Vertebroplasty,alias,0.0,"[""T061""]"
157,Vermilionectomy,C0191993,Vermilionectomy,alias,0.0,"[""T061""]"
160,Vertebral Artery Stenosis,C0265103,Vertebral Artery Stenosis,alias,0.0,"[""T047""]"
162,Vertebral Epiphysitis,C0036310,Scheuermann's Disease,alias,0.0,"[""T047""]"
163,Ventricular Septal Defects,C0018818,Ventricular Septal Defects,alias,0.0,"[""T019""]"
164,Ventricular Shunt,C0728823,Ventricular shunt device,alias,0.0,"[""T074""]"
165,Ventricular Tachycardia,C0042514,"Tachycardia, Ventricular",alias,0.0,"[""T047""]"
166,Ventriculo Peritoneal Shunt,C0162702,Creation of ventriculo-peritoneal shunt,alias,0.0,"[""T061""]"
167,Ventriculocisternostomy,C0042515,Ventriculocisternostomy,alias,0.0,"[""T061""]"
168,Ventriculomegaly,C1531647,Cerebral ventriculomegaly,alias,0.0,"[""T033""]"
169,Ventriculostomy,C0042517,Ventriculostomy,alias,0.0,"[""T061""]"
170,Ventricular Aneurysm,C0392464,Ventricular aneurysm,alias,0.0,"[""T047""]"
171,Ventricular Arrhythmia,C0085612,Ventricular arrhythmia,alias,0.0,"[""T047""]"
172,Ventricular Assist Device,C0085842,Artificial Ventricle,alias,0.0,"[""T074""]"
173,Ventricular Fibrillation,C0042510,Ventricular Fibrillation,alias,0.0,"[""T047""]"
174,Ventricular Myxoma,C1710629,Ventricular myxoma,alias,0.0,"[""T191""]"
179,Ventilator Dependent,C0750173,Ventilator-Dependent,alias,0.0,"[""T033""]"
180,Ventral Hernia,C0019326,Ventral Hernia,alias,0.0,"[""T190""]"
181,Ventral Hernia Repair,C0019334,Repair of ventral hernia,alias,0.0,"[""T061""]"
182,Venezuelan Equine Encephalomyelitis,C0014078,Venezuelan equine encephalomyelitis,alias,0.0,"[""T047""]"
183,Venom Allergy,C4510560,Venom Hypersensitivity,alias,0.0,"[""T046""]"
184,Venous Angioma,C0334532,Venous hemangioma,alias,0.0,"[""T191""]"
185,Venous Cutdown,C0085290,Venous Cutdown,alias,0.0,"[""T061""]"
187,Venous Insufficiency,C0042485,Venous Insufficiency,alias,0.0,"[""T047""]"
189,Vein Ligation,C0191146,Ligation of vein,alias,0.0,"[""T061""]"
190,Vein Of Galen Malformation,C1562503,Vein of Galen Malformations,alias,0.0,"[""T019""]"
193,Velopharyngeal Insufficiency,C0042454,Velopharyngeal Insufficiency,alias,0.0,"[""T047""]"
196,Vasculitis,C0042384,Vasculitis,alias,0.0,"[""T047""]"
197,Vasomotor Rhinitis,C0035460,"Rhinitis, Vasomotor",alias,0.0,"[""T047""]"
199,Vasospastic Angina,C0002963,"Angina Pectoris, Variant",alias,0.0,"[""T047""]"
200,Vasovagal Syncope,C0042420,Vasovagal syncope,alias,0.0,"[""T047""]"
206,Vascular Ring,C0221214,Vascular ring,alias,0.0,"[""T019""]"
209,Vascular Ultrasound,C0948543,Vascular ultrasound procedure,alias,0.0,"[""T060""]"
210,Vascular Access Device,C0184269,Vascular Access Devices,alias,0.0,"[""T074""]"
217,Vascular Malformation,C1961121,Congenital vascular anomaly,alias,0.0,"[""T019""]"
218,Varicella Encephalitis,C0153017,Varicella Zoster Encephalitis,alias,0.0,"[""T047""]"
219,Varicella Vaccination,C5235267,varicella vaccination,alias,0.0,"[""T061""]"
220,Varicella Virus,C0042338,"herpesvirus 3, human",alias,0.0,"[""T005""]"
221,Varicocele,C0042341,Varicocele,alias,0.0,"[""T047""]"
223,Varicose Veins,C0042345,Varicosity,alias,0.0,"[""T047""]"
224,Vasa Previa,C0269852,Vasa Previa,alias,0.0,"[""T190""]"
225,Vagus Nerve Disease,C0152179,Vagus Nerve Disorder,alias,0.0,"[""T047""]"
226,Vagus Nerve Stimulation,C2350432,Vagus Nerve Stimulation,alias,0.0,"[""T061""]"
229,Valvular Heart Disease,C0018824,Heart valve disease,alias,0.0,"[""T047""]"
230,Valvuloplasty,C0190112,Heart valvuloplasty,alias,0.0,"[""T061""]"
231,Variant Angina,C0002963,"Angina Pectoris, Variant",alias,0.0,"[""T047""]"
232,Varicella,C0008049,Chickenpox,alias,0.0,"[""T047""]"
233,Vaginal Melanoma,C2004576,Vaginal Melanoma,alias,0.0,"[""T191""]"
235,Vaginal Prolapse,C0205990,Vaginal Prolapse,alias,0.0,"[""T020""]"
236,Vaginal Septum,C0431649,Vaginal septum,alias,0.0,"[""T019""]"
238,Vaginismus,C2004487,Vaginospasm,alias,0.0,"[""T047""]"
239,Vaginitis,C0042267,Vaginitis,alias,0.0,"[""T047""]"
240,Vaginoplasty,C0195196,Reconstruction of vagina,alias,0.0,"[""T061""]"
241,Vaginal Candidiasis,C0006852,Candidiasis of vagina,alias,0.0,"[""T047""]"
242,Vaginal Delivery,C1541822,Vaginal delivery procedure,alias,0.0,"[""T061""]"
243,Vaginal Discharge,C0227791,Vaginal Discharge,alias,0.0,"[""T033""]"
244,Vaginal Dryness,C0241633,Vaginal dryness,alias,0.0,"[""T033""]"
245,Vaginal Hysterectomy,C0020700,Vaginal hysterectomy,alias,0.0,"[""T061""]"
246,Vaginal Infections,C0404521,Infective vaginitis,alias,0.0,"[""T047""]"
247,Vaginal Intraepithelial Neoplasia,C0346208,Vaginal intraepithelial neoplasia,alias,0.0,"[""T191""]"
248,Vaginal Irritation,C0558368,Vaginal irritation,alias,0.0,"[""T033""]"
250,Vaginal Atrophy,C0241616,Atrophy of vagina,alias,0.0,"[""T047""]"
251,Vaginal Biopsy,C0195133,Vaginal biopsy (procedure),alias,0.0,"[""T060""]"
253,Vaginal Bleeding,C2979982,Vaginal Hemorrhage,alias,0.0,"[""T046""]"
255,Vaginal Cancer,C0042237,Malignant Vaginal Neoplasm,alias,0.0,"[""T191""]"
261,Vagal Stimulation,C1293903,Vagal stimulation,alias,0.0,"[""T060""]"
262,Vaginal Abscess,C0750053,Vaginal Abscess,alias,0.0,"[""T047""]"
264,Uterine Sarcoma,C0338113,Uterine Corpus Sarcoma,alias,0.0,"[""T191""]"
265,Uterine Septum,C0152240,Uterus bilocularis,alias,0.0,"[""T019""]"
266,Uterine Surgery,C3665370,Operation on uterus,alias,0.0,"[""T061""]"
267,Uveitis,C0042164,Uveitis,alias,0.0,"[""T047""]"
269,Uvulitis,C0042174,Uvulitis,alias,0.0,"[""T047""]"
270,Uvuloplasty,C0948461,uvuloplasty,alias,0.0,"[""T061""]"
271,Vaccinations,C0042196,Vaccination,alias,0.0,"[""T061""]"
276,Uterine Mass,C0221782,Mass of uterus,alias,0.0,"[""T033""]"
277,Uterine Myoma,C0042133,Uterine Fibroids,alias,0.0,"[""T191""]"
278,Uterine Polyp,C0156369,Uterine Polyp,alias,0.0,"[""T191""]"
279,Uterine Prolapse,C0042140,Uterine Prolapse,alias,0.0,"[""T190""]"
282,Usher Syndrome,C0271097,Usher Syndrome,alias,0.0,"[""T047""]"
284,Uterine Artery Embolization,C0729536,Uterine Artery Embolization,alias,0.0,"[""T061""]"
285,Uterine Bleeding,C0042134,Uterine hemorrhage,alias,0.0,"[""T046""]"
286,Uterine Cancer,C0153567,Uterine Cancer,alias,0.0,"[""T191""]"
287,Uterine Fibroid Embolization,C1610072,Uterine fibroid embolization,alias,0.0,"[""T061""]"
288,Urologic Surgery,C0038913,Urologic Surgical Procedures,alias,0.0,"[""T061""]"
290,Urostomy,C0856443,Urostomy procedure,alias,0.0,"[""T061""]"
291,Urothelium,C0227598,Urothelium,alias,0.0,"[""T024""]"
292,Urticaria,C0042109,Urticaria,alias,0.0,"[""T047""]"
296,Urinary Tract Infection,C0042029,Urinary tract infection,alias,0.0,"[""T047""]"
297,Urinary Tract Injury,C0497561,urologic injuries,alias,0.0,"[""T037""]"
298,Urinary Tract Malformation,C0158698,Congenital malformation of the urinary system,alias,0.0,"[""T019""]"
299,Urinary Tract Obstruction,C0178879,Urinary tract obstruction,alias,0.0,"[""T047""]"
300,Urinary Tract Pain,C0423701,Urinary Tract Pain,alias,0.0,"[""T184""]"
301,Urinary Urgency,C0085606,Urgency of micturition,alias,0.0,"[""T184""]"
302,Urodynamics,C2239180,Urodynamic studies (procedure),alias,0.0,"[""T060""]"
303,Uroflowmetry,C0200008,Uroflowmetry,alias,0.0,"[""T060""]"
305,Urinary Diversion,C0042020,Urinary Diversion,alias,0.0,"[""T061""]"
307,Urinary Incontinence,C0042024,Urinary Incontinence,alias,0.0,"[""T046""]"
310,Urinary Retention,C0080274,Urinary Retention,alias,0.0,"[""T033""]"
311,Urinary Tract Fistula,C0042021,Urinary Tract Fistula,alias,0.0,"[""T047""]"
312,Urethrotomy,C0194550,Urethrotomy,alias,0.0,"[""T061""]"
313,Urge Incontinence,C0150045,Urge Incontinence,alias,0.0,"[""T033""]"
316,Urinary Catheter Insertion,C0042019,Urinary Catheterization,alias,0.0,"[""T061""]"
319,Urethral Discharge,C0152447,Urethral discharge,alias,0.0,"[""T184""]"
320,Urethral Diverticulum,C0152443,Urethral diverticulum,alias,0.0,"[""T047""]"
321,Urethral Fistula,C0041970,Urethral fistula,alias,0.0,"[""T190""]"
323,Urethral Stricture,C4551691,Urethral stricture,alias,0.0,"[""T047""]"
325,Urethritis,C0041976,Urethritis,alias,0.0,"[""T047""]"
328,Ureteroenterostomy,C0194328,Ureteroenterostomy,alias,0.0,"[""T061""]"
329,Ureteropelvic Junction Obstruction,C0521619,Obstruction of pelviureteric junction,alias,0.0,"[""T190""]"
330,Ureteroscopy,C0401276,Diagnostic endoscopic examination of ureter,alias,0.0,"[""T060""]"
331,Ureterotomy,C0194211,Incision of ureter,alias,0.0,"[""T061""]"
332,Urethral Abscess,C0156278,Urethral abscess,alias,0.0,"[""T047""]"
334,Urethral Cancer,C0700101,Urethral Carcinoma,alias,0.0,"[""T191""]"
335,Uremia,C0041948,Uremia,alias,0.0,"[""T047""]"
339,Ureteral Stent,C0183518,Ureteric stent,alias,0.0,"[""T074""]"
341,Ureterectomy,C0194224,Ureterectomy,alias,0.0,"[""T061""]"
342,Ureterocele,C0041960,Ureterocele,alias,0.0,"[""T020""]"
346,Urachal Cyst,C0041915,Urachal Cyst,alias,0.0,"[""T019""]"
347,Urachal Remnant,C1739389,Urachal Remnant,alias,0.0,"[""T019""]"
355,Upper Gi Series,C0203057,Upper gastrointestinal tract series,alias,0.0,"[""T060""]"
357,Upper Respiratory Infection,C0041912,Upper Respiratory Infections,alias,0.0,"[""T047""]"
361,Unstable Angina,C0002965,"Angina, Unstable",alias,0.0,"[""T047""]"
362,Unsteady Gait,C0231686,"Gait, Unsteady",alias,0.0,"[""T033""]"
363,Unwanted Hair,C0850015,unwanted hair,alias,0.0,"[""T184""]"
365,Upper Back Pain,C0238741,Upper back pain,alias,0.0,"[""T184""]"
366,Undifferentiated Sarcoma,C0855073,Undifferentiated (Embryonal) Sarcoma,alias,0.0,"[""T191""]"
368,Unexplained Infertility,C0404585,Unexplained infertility,alias,0.0,"[""T046""]"
372,Unicameral Bone Cyst,C4082185,Unicameral bone cyst,alias,0.0,"[""T190""]"
374,Underactive Bladder,C4704753,"Urinary Bladder, Underactive",alias,0.0,"[""T047""]"
376,Underweight,C0041667,Underweight,alias,0.0,"[""T033""]"
377,Undiagnosed Diseases,C5197901,Undiagnosed Diseases,alias,0.0,"[""T047""]"
379,Undifferentiated Connective Tissue Disease,C0409999,Undifferentiated Connective Tissue Diseases,alias,0.0,"[""T047""]"
380,Undifferentiated Pleomorphic Sarcoma,C0334463,Malignant Fibrous Histiocytoma,alias,0.0,"[""T191""]"
381,Umbilical Cord Prolapse,C0269845,Prolapsed cord,alias,0.0,"[""T033""]"
383,Umbilical Hernia,C0019322,Umbilical hernia,alias,0.0,"[""T190""]"
392,Ultraviolet Therapy,C0041626,Ultraviolet Therapy,alias,0.0,"[""T061""]"
394,Umbilical Cord Compression,C0266798,Compression of umbilical cord,alias,0.0,"[""T047""]"
398,Ulnar Nerve Injury,C0161458,Injury of ulnar nerve,alias,0.0,"[""T037""]"
401,Ulnar Neuropathy,C0154743,Ulnar Neuropathies,alias,0.0,"[""T047""]"
403,Typhus Fever,C0041471,TYPHUS,alias,0.0,"[""T047""]"
404,Tyrosinemia,C0268483,Tyrosinemias,alias,0.0,"[""T047""]"
406,Ulcerative Colitis,C0009324,Ulcerative Colitis,alias,0.0,"[""T047""]"
407,Ulcerative Proctitis,C2937222,Chronic ulcerative proctitis,alias,0.0,"[""T047""]"
411,Tympanostomy,C0087123,Tympanostomy,alias,0.0,"[""T061""]"
412,Type 1 Diabetes,C0011854,"Diabetes Mellitus, Insulin-Dependent",alias,0.0,"[""T047""]"
414,Type 2 Diabetes,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",alias,0.0,"[""T047""]"
416,Typhoid Fever,C0041466,Typhoid Fever,alias,0.0,"[""T047""]"
419,Twins,C0041427,Twin sibling (person),alias,0.0,"[""T099""]"
421,Twitching,C0231530,Muscle twitch,alias,0.0,"[""T033""]"
423,Tympanometry,C0085853,Tympanometry,alias,0.0,"[""T060""]"
425,Tumor Of Parotid Gland,C0030581,Parotid Neoplasms,alias,0.0,"[""T191""]"
426,Tumor Pathology,C1519688,Tumor Pathology,alias,0.0,"[""T091""]"
427,Tumor Treating Fields Therapy,C4087167,Tumour treating fields therapy,alias,0.0,"[""T061""]"
429,Turf Toe,C0406185,Turf Toe,alias,0.0,"[""T037""]"
430,Turner Syndrome,C0041408,Turner Syndrome,alias,0.0,"[""T047""]"
432,Tularemia,C0041351,Tularemia,alias,0.0,"[""T047""]"
434,Tumid Lupus Erythematosus,C0406636,Lupus erythematosus tumidus,alias,0.0,"[""T047""]"
435,Tumor Infiltrating Lymphocyte Therapy,C0280661,tumor infiltrating lymphocyte therapy,alias,0.0,"[""T061""]"
439,Tuberous Sclerosis,C0041341,Tuberous Sclerosis,alias,0.0,"[""T191""]"
442,Tubulointerstitial Nephritis,C0041349,"Nephritis, Tubulointerstitial",alias,0.0,"[""T047""]"
443,Tufted Angioma,C0346073,Tufted angioma of skin,alias,0.0,"[""T191""]"
446,Tubal Factor Infertility,C0745287,infertility tubal factor,alias,0.0,"[""T047""]"
447,Tubal Ligation,C0520483,Tubal Ligation,alias,0.0,"[""T061""]"
450,Tuberculosis,C0041296,Tuberculosis,alias,0.0,"[""T047""]"
451,Tropical Sprue,C0038054,"Sprue, Tropical",alias,0.0,"[""T047""]"
454,Truncus Arteriosus,C0041207,"Truncus Arteriosus, Persistent",alias,0.0,"[""T019""]"
455,Truncus Arteriosus Communis,C0041207,"Truncus Arteriosus, Persistent",alias,0.0,"[""T019""]"
456,Trypanosomiasis,C0041227,Trypanosomiasis,alias,0.0,"[""T047""]"
458,Trisomy 13,C0152095,Patau syndrome,alias,0.0,"[""T047""]"
459,Trisomy 18,C4317091,Trisomy 18 Syndrome,alias,0.0,"[""T047""]"
460,Trochlear Nerve Injury,C0161405,Trochlear Nerve Injuries,alias,0.0,"[""T037""]"
462,Tropical Medicine,C0041186,Tropical Medicine,alias,0.0,"[""T091""]"
463,Trigger Finger,C0158328,Trigger Finger Disorder,alias,0.0,"[""T047""]"
465,Trigger Point Injection,C0185340,Injection of trigger point,alias,0.0,"[""T061""]"
466,Trigger Thumb,C0410060,Trigger Thumb,alias,0.0,"[""T020""]"
467,Triple Negative Breast Cancer,C3539878,Triple Negative Breast Neoplasms,alias,0.0,"[""T191""]"
468,Triple X Syndrome,C0221033,Trisomy X syndrome,alias,0.0,"[""T047""]"
469,Trisomy,C0041107,Trisomy,alias,0.0,"[""T049""]"
470,Tricuspid Regurgitation,C0040961,Tricuspid Valve Insufficiency,alias,0.0,"[""T047""]"
471,Tricuspid Stenosis,C0040963,Tricuspid Valve Stenosis,alias,0.0,"[""T047""]"
472,Tricuspid Valve Disease,C0264882,Tricuspid valve disorder,alias,0.0,"[""T047""]"
475,Trigeminal Neuralgia,C0040997,Trigeminal Neuralgia,alias,0.0,"[""T047""]"
477,Trichinosis,C0040896,Trichinellosis,alias,0.0,"[""T047""]"
478,Trichomoniasis,C0040921,Trichomonas Infections,alias,0.0,"[""T047""]"
480,Trichotillomania,C0040953,Trichotillomania,alias,0.0,"[""T048""]"
481,Tricuspid Atresia,C0243002,Tricuspid Atresia,alias,0.0,"[""T019""]"
483,Tree Nut Allergy,C0577620,Nut Hypersensitivity,alias,0.0,"[""T047""]"
484,Tremor,C0040822,Tremor,alias,0.0,"[""T184""]"
485,Trench Fever,C0040830,Trench Fever,alias,0.0,"[""T047""]"
490,Travel Medicine,C2718055,Travel Medicine,alias,0.0,"[""T091""]"
491,Travel Vaccination,C0555961,travel vaccinations,alias,0.0,"[""T061""]"
493,Treacher Collins Syndrome,C0242387,Mandibulofacial Dysostosis,alias,0.0,"[""T047""]"
495,Traumatic Amputation,C0002694,"Amputation, Traumatic",alias,0.0,"[""T037""]"
497,Traumatic Brain Injury,C0876926,Traumatic Brain Injury,alias,0.0,"[""T037""]"
501,Traumatic Cataract,C0154983,Traumatic cataract,alias,0.0,"[""T037""]"
503,Transverse Myelitis,C0026976,"Myelitis, Transverse",alias,0.0,"[""T047""]"
504,Transverse Rectus Abdominis Myocutaneous Flap,C5551436,TRAM Flap Procedure,alias,0.0,"[""T061""]"
507,Trauma,C3714660,Trauma,alias,0.0,"[""T037""]"
513,Transthoracic Echocardiogram,C0430462,Transthoracic echocardiography,alias,0.0,"[""T060""]"
519,Transposition Of Great Vessels,C0040761,Transposition of Great Vessels,alias,0.0,"[""T019""]"
524,Transmissible Spongiform Encephalopathies,C0162534,Prion Diseases,alias,0.0,"[""T047""]"
526,Transoral Laser Microsurgery,C2984589,Transoral Laser Microsurgery,alias,0.0,"[""T061""]"
532,Transitional Cell Carcinoma,C0007138,"Carcinoma, Transitional Cell",alias,0.0,"[""T191""]"
533,Transitional Meningioma,C0334611,Transitional Meningioma,alias,0.0,"[""T191""]"
537,Transient Acantholytic Dermatosis,C0263325,Grover's disease,alias,0.0,"[""T047""]"
538,Transient Blindness,C0155003,"Blindness, Transient",alias,0.0,"[""T046""]"
543,Transcatheter Mitral Valve Repair,C2921039,Transcatheter mitral valve repair,alias,0.0,"[""T061""]"
546,Transcranial Doppler,C0206077,"Ultrasonography, Doppler, Transcranial",alias,0.0,"[""T060""]"
547,Transesophageal Echocardiography,C0206054,"Echocardiography, Transesophageal",alias,0.0,"[""T060""]"
549,Trachonychia,C0406443,Twenty nail dystrophy,alias,0.0,"[""T019""]"
550,Transaminitis,C2242708,Hypertransaminasaemia,alias,0.0,"[""T033""]"
551,Transanal Endoscopic Microsurgery,C4042939,Transanal Endoscopic Microsurgery,alias,0.0,"[""T061""]"
552,Transanal Minimally Invasive Surgery,C4505038,Transanal Minimally Invasive Surgery,alias,0.0,"[""T061""]"
555,Tracheoesophageal Fistula,C0040588,Tracheoesophageal Fistula,alias,0.0,"[""T190""]"
556,Tracheomalacia,C0948187,Tracheomalacia,alias,0.0,"[""T047""]"
557,Tracheoplasty,C2937235,Repair of trachea,alias,0.0,"[""T061""]"
558,Tracheostomy,C0472567,Exteriorization of trachea,alias,0.0,"[""T061""]"
560,Tracheal Resection,C0189360,Resection of trachea,alias,0.0,"[""T061""]"
561,Tracheal Stenosis,C0040583,Tracheal Stenosis,alias,0.0,"[""T047""]"
562,Tracheal Stent,C0183517,Tracheal stent,alias,0.0,"[""T074""]"
565,Tracheobronchitis,C0040586,Tracheobronchitis,alias,0.0,"[""T047""]"
566,Tracheal Cancer,C0153489,Malignant neoplasm of trachea,alias,0.0,"[""T191""]"
569,Tracheal Diseases,C0040580,Tracheal Diseases,alias,0.0,"[""T047""]"
572,Toxic Synovitis,C0302886,Toxic synovitis,alias,0.0,"[""T047""]"
573,Toxic Thyroid Nodule,C0154141,Thyrotoxicosis with toxic single thyroid nodule,alias,0.0,"[""T047""]"
